Date : 2025-04-14 21:29:53
Directory : c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend
Total : 87 files,  11254 codes, 35 comments, 341 blanks, all 11630 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\organizer\EventsListPage.jsx        | JavaScript JSX |        269 |         12 |         18 |        299 |
| c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\organizer\OrganizerSettingsPage.jsx | JavaScript JSX |         14 |          0 |          2 |         16 |
| c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\user\ProfilePage.jsx                | JavaScript JSX |        161 |         15 |         23 |        199 |
| c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\api.js                           | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\authService.js                   | JavaScript     |        113 |         13 |         18 |        144 |
| c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\bookingService.js                | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\eventService.js                  | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\organizerService.js              | JavaScript     |        178 |         16 |         29 |        223 |
| c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\userService.js                   | JavaScript     |         65 |          5 |          8 |         78 |
| c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\utils\formatDate.js                       | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\utils\validation.js                       | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\tailwind.config.cjs                           | JavaScript     |         22 |          0 |          1 |         23 |
| c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\vite.config.js                                | JavaScript     |          9 |          0 |          2 |         11 |
| Total                                                                                                      |                |     11,254 |         35 |        341 |     11,630 |
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
